Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-373.1482	-335.7823	-37.36588	7.93862	2.150427	0.158392	0.0432748	0.673963	0.315309	0.000712364	0.355319	0.258011	0.673233	0.146932	0.391003	0.351414	0.0276778	1.2821	0.258932	0.19274	0.0266241	0.417125	0.252574	0.0693446	0.234384	0.384916	0.0345098	0.2389138	0.1132456	0.0263528	0.153748	0.0382181	0.0715711	0.00625288	0.0146579	0.0368632	0.00140256	0.13515	0.155216	0.124896	0.0331732	0.178746	0.0158953	0.00785539	0.3043809	4	11.00391	0.1408387	0.310593	0.670112	1.07334	1.94596	0.229157	0.112709	0.193227	0.0991111	0.244117	0.121678	0.4176265	0.7288351
1	0	-355.6243	-336.2258	-19.39856	6.636405	2.427277	0.154984	0.00204601	0.0329657	0.0780649	0.242566	0.0794691	0.0289736	0.272888	0.0730939	0.664789	0.0357446	0.0380843	0.202927	0.01124	0.152222	0.331221	0.194199	0.0176905	0.373684	0.181869	0.134891	0.309084	0.1432919	0.02030361	0.129021	0.110696	0.200659	0.046129	0.16908	0.0130554	0.000271608	0.00752362	0.0446698	0.0675406	0.0410125	0.00905901	0.0454795	0.0833454	0.0324584	0.3227653	2	6.790933	0.1682545	0.339452	0.693913	1.07775	1.88888	0.128638	0.134064	0.274851	0.156494	0.206877	0.0990758	0.3430689	0.9408177
2	0	-372.5308	-334.8025	-37.72837	7.164971	3.439187	0.367872	0.162515	0.174843	0.410948	0.0819563	0.185008	0.884042	0.193655	0.781501	0.872043	1.06486	0.0815844	0.0738098	0.241863	0.00500804	0.0962445	0.143978	0.0995503	0.301461	0.0778669	0.981103	0.195573	0.2911869	0.1025938	0.013102	0.0141789	0.198489	0.0139083	0.0613867	0.0131011	0.0221951	0.0015207	0.173803	0.218665	0.0534736	0.00753855	0.0956561	0.106923	0.00605994	0.2972138	3	10.71306	0.2375518	0.420622	0.75327	1.08397	1.74214	0.209955	0.167283	0.189404	0.104654	0.210252	0.118453	0.3998076	0.743392
3	0	-377.7463	-340.9677	-36.77861	5.400114	2.699981	0.601642	0.00832455	0.0342191	0.134057	0.2505	0.678006	0.450157	1.03147	0.248397	0.779862	0.9949	0.22412	0.508899	0.329843	0.759058	0.533287	0.0696406	0.460578	0.107012	0.151738	0.149239	0.364286	0.3577464	0.2261481	0.139647	0.0614445	0.20677	0.0745861	0.0729541	0.0497453	0.0459316	0.0030876	0.050361	0.0971996	0.0602741	0.00411004	0.0911089	0.0200599	0.0227197	0.2941868	3	7.135489	0.161845	0.364632	0.713436	1.08057	1.84136	0.181825	0.128503	0.1792	0.102443	0.259448	0.148581	0.5203349	0.5653797
4	0	-369.799	-337.7058	-32.09321	8.54464	2.798354	0.117122	0.00201033	0.0982338	0.220218	0.00701116	0.228171	0.190958	0.264584	0.21026	0.0224183	0.153063	0.234577	0.487165	0.379979	0.418857	0.287668	0.256615	0.0349998	0.00551306	0.196722	0.329825	0.20848	0.1844192	-0.1788407	0.185167	0.0828186	0.13035	0.0286385	0.0246673	0.0518489	0.0415741	0.00610805	0.110424	0.0777162	0.0834996	0.0129584	0.120176	0.0130387	0.0310144	0.3828881	3	11.55621	0.1307409	0.373035	0.719715	1.08132	1.82593	0.200264	0.100876	0.211599	0.13499	0.229151	0.123119	0.2040473	1.876467
5	0	-362.1436	-332.512	-29.63161	7.375154	4.097196	0.0631168	0.00723693	0.177742	0.0315668	0.143656	0.0549262	0.806881	0.649742	0.143037	0.215735	0.040683	0.358873	0.00260684	0.477838	0.54422	0.0666798	0.0608638	0.0438743	0.179505	0.0949407	0.53336	0.145061	0.2617235	0.06803219	0.113963	0.0197254	0.159939	0.0111525	0.22254	0.0231364	0.000585764	0.000357248	0.136421	0.0656291	0.0446024	0.0193813	0.0763645	0.0653871	0.0408155	0.3247679	2	11.62494	0.1744037	0.459623	0.778505	1.08437	1.6775	0.150825	0.157892	0.208589	0.0818569	0.282675	0.118162	0.3928	0.826802
6	0	-373.9042	-342.7596	-31.14461	6.142627	0.8797806	0.820903	0.00632558	0.018271	0.0240228	0.524467	0.51648	0.200785	0.833762	0.00281635	0.133258	0.108804	0.0551192	0.430502	0.275612	0.430291	0.476161	0.202824	0.0535534	0.471761	0.233725	0.0755871	0.216284	0.4639129	0.1221682	0.0293892	0.079425	0.0716192	0.0699002	0.07162	0.0588659	0.033259	0.00448684	0.274152	0.0371898	0.107626	0.0112345	0.0894263	0.0292709	0.0325352	0.3687655	3	6.245611	0.2384503	0.112388	0.437376	0.976826	2.47341	0.125877	0.105123	0.272753	0.130926	0.245771	0.119551	0.4909337	0.7511512
7	0	-347.8995	-338.125	-9.774444	8.056012	3.670698	0.0204361	0.0777637	0.0399952	0.123405	0.015517	0.0500659	0.0813327	0.216052	0.0594842	0.0542431	0.0124778	0.013573	0.0300796	0.342082	0.177195	0.0618386	0.0908313	0.165253	0.0418011	0.0471477	0.276665	0.0398685	0.09350761	0.2358967	0.0580427	0.149728	0.15004	0.0415389	0.0455651	0.0897711	0.010555	0.0033894	0.0878811	0.0974911	0.162699	0.0151722	0.0128731	0.0101131	0.0651408	0.432229	2	8.906601	0.1338689	0.435303	0.762992	1.08429	1.71741	0.143174	0.168862	0.13295	0.0851166	0.290468	0.179429	0.6681257	0.6469277
8	0	-360.6633	-324.4633	-36.19995	7.508383	5.006077	0.233698	0.0160886	0.275085	0.00313001	0.0547846	0.280849	0.109219	0.21458	0.490246	0.512597	1.38819	0.302621	0.269708	0.0142837	0.285096	0.0771645	0.179492	0.779807	0.821298	0.158968	0.216346	0.327554	0.2431189	0.188339	0.0408981	0.145811	0.176045	0.128645	0.0665555	0.0205796	0.0108968	0.000992391	0.126661	0.120966	0.0045099	0.00693387	0.0805111	0.054848	0.0151468	0.273153	3	8.553456	0.137029	0.50233	0.804106	1.08329	1.61027	0.130181	0.167466	0.220051	0.0806412	0.302927	0.0987324	0.461492	0.5918911
9	0	-363.9319	-340.6637	-23.2682	6.397763	2.023178	0.331564	0.152808	0.0725979	0.196446	0.0777983	0.00870429	0.0805667	0.033524	0.328722	0.191193	0.491396	0.104044	0.120074	0.216428	0.0159687	0.191713	0.184593	0.138353	0.0293753	0.0645236	0.263463	0.783261	0.1293927	0.1575422	0.107378	0.158263	0.125475	0.013225	0.0179755	0.0328126	0.00282501	0.0114978	0.199729	0.0299485	0.102993	0.000826013	0.0470377	0.0870873	0.0629277	0.1719342	4	8.333012	0.3211083	0.296026	0.657456	1.07056	1.97596	0.155612	0.124709	0.215008	0.0657693	0.350825	0.0880769	0.3294764	0.5218408
